Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,7,0,0
1/28/20,11,0,0
1/29/20,12,0,0
1/30/20,17,0,0
1/31/20,21,0,0
2/1/20,26,0,0
2/2/20,28,0,0
2/3/20,31,0,1
2/4/20,34,0,1
2/5/20,34,0,1
2/6/20,40,0,1
2/7/20,43,0,5
2/8/20,45,0,15
2/9/20,45,0,13
2/10/20,49,0,13
2/11/20,53,0,22
2/12/20,58,0,24
2/13/20,64,0,24
2/14/20,67,0,24
2/15/20,70,0,33
2/16/20,70,0,33
2/17/20,70,0,35
2/18/20,70,0,42
2/19/20,71,0,42
2/20/20,71,0,44
2/21/20,71,0,48
2/22/20,71,0,48
2/23/20,71,0,56
2/24/20,71,0,58
2/25/20,71,0,61
2/26/20,71,0,65
2/27/20,72,0,68
2/28/20,72,0,68
2/29/20,73,0,69
3/1/20,73,0,69
3/2/20,74,0,69
3/3/20,74,0,69
3/4/20,75,0,69
3/5/20,75,0,69
3/6/20,75,0,71
3/7/20,75,0,71
3/8/20,75,0,71
3/9/20,75,0,71
3/10/20,75,0,71
3/11/20,75,0,72
3/12/20,75,0,72
3/13/20,75,0,72
3/14/20,75,0,73
3/15/20,75,0,73
3/16/20,75,0,75
3/17/20,75,0,75
3/18/20,75,0,75
3/19/20,75,0,75
3/20/20,75,0,75
3/21/20,75,0,75
3/22/20,75,0,75
3/23/20,75,0,75
3/24/20,75,0,75
3/25/20,75,0,75
3/26/20,75,0,75
3/27/20,75,0,75
3/28/20,75,0,75
3/29/20,75,0,75
3/30/20,75,0,75
3/31/20,75,0,75
4/1/20,75,0,75
4/2/20,75,0,75
4/3/20,75,0,75
4/4/20,75,0,75
4/5/20,75,0,75
4/6/20,75,0,75
4/7/20,75,0,75
4/8/20,75,0,75
4/9/20,75,0,75
4/10/20,75,0,75
4/11/20,75,0,75
4/12/20,75,0,75
4/13/20,75,0,75
4/14/20,75,0,75
4/15/20,75,0,75
4/16/20,75,0,75
4/17/20,75,0,75
4/18/20,75,0,75
4/19/20,75,0,75
4/20/20,75,0,75
4/21/20,75,0,75
4/22/20,75,0,75
4/23/20,75,0,75
4/24/20,75,0,75
4/25/20,75,0,75
4/26/20,75,0,75
4/27/20,75,0,75
4/28/20,75,0,75
4/29/20,75,0,75
4/30/20,75,0,75
5/1/20,75,0,75
5/2/20,75,0,75
5/3/20,75,0,75
5/4/20,75,0,75
5/5/20,75,0,75
5/6/20,75,0,75
5/7/20,75,0,75
5/8/20,75,0,75
5/9/20,75,0,75
5/10/20,75,0,75
5/11/20,75,0,75
5/12/20,75,0,75
5/13/20,75,0,75
5/14/20,75,0,75
5/15/20,75,0,75
5/16/20,75,0,75
5/17/20,75,0,75
5/18/20,75,0,75
5/19/20,75,0,75
5/20/20,75,0,75
5/21/20,75,0,75
5/22/20,75,0,75
5/23/20,75,0,75
5/24/20,75,0,75
5/25/20,75,0,75
5/26/20,75,0,75
5/27/20,75,0,75
5/28/20,75,0,75
5/29/20,75,0,75
5/30/20,75,0,75
5/31/20,75,0,75
6/1/20,75,0,75
6/2/20,75,0,75
6/3/20,75,0,75
6/4/20,75,0,75
6/5/20,75,0,75
6/6/20,75,0,75
6/7/20,75,0,75
6/8/20,75,0,75
6/9/20,75,0,75
6/10/20,75,0,75
6/11/20,75,0,75
6/12/20,75,0,75
6/13/20,75,0,75
6/14/20,75,0,75
6/15/20,75,0,75
6/16/20,75,0,75
6/17/20,75,0,75
