Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,1,0,0
1/27/20,1,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,2,0,0
1/31/20,3,0,0
2/1/20,4,0,0
2/2/20,4,0,0
2/3/20,4,0,0
2/4/20,4,0,0
2/5/20,4,0,0
2/6/20,4,0,0
2/7/20,4,0,0
2/8/20,4,0,0
2/9/20,4,0,0
2/10/20,4,0,0
2/11/20,4,0,0
2/12/20,4,0,0
2/13/20,4,0,4
2/14/20,4,0,4
2/15/20,4,0,4
2/16/20,4,0,4
2/17/20,4,0,4
2/18/20,4,0,4
2/19/20,4,0,4
2/20/20,4,0,4
2/21/20,4,0,4
2/22/20,4,0,4
2/23/20,4,0,4
2/24/20,4,0,4
2/25/20,4,0,4
2/26/20,4,0,4
2/27/20,4,0,4
2/28/20,4,0,4
2/29/20,7,0,4
3/1/20,7,0,4
3/2/20,9,0,4
3/3/20,9,0,4
3/4/20,10,0,4
3/5/20,10,0,7
3/6/20,10,0,7
3/7/20,11,0,7
3/8/20,11,0,7
3/9/20,15,0,7
3/10/20,18,0,7
3/11/20,21,0,7
3/12/20,21,0,7
3/13/20,36,0,8
3/14/20,49,0,8
3/15/20,57,0,8
3/16/20,71,0,8
3/17/20,94,0,8
3/18/20,121,0,8
3/19/20,121,0,8
3/20/20,121,0,8
3/21/20,229,0,8
3/22/20,355,0,70
3/23/20,355,0,70
3/24/20,411,0,97
3/25/20,466,0,97
3/26/20,520,3,149
3/27/20,574,3,171
3/28/20,685,3,191
3/29/20,769,4,191
3/30/20,821,4,191
3/31/20,917,4,291
4/1/20,968,4,343
4/2/20,1036,5,422
4/3/20,1085,7,476
4/4/20,1115,8,527
4/5/20,1135,8,573
4/6/20,1158,10,620
4/7/20,1191,11,620
4/8/20,1212,12,620
4/9/20,1228,12,736
4/10/20,1241,13,926
4/11/20,1265,14,926
4/12/20,1268,14,926
4/13/20,1281,14,926
4/14/20,1291,14,1118
4/15/20,1299,14,1118
4/16/20,1299,14,1137
4/17/20,1302,14,1159
4/18/20,1319,14,1172
4/19/20,1328,14,1172
4/20/20,1329,14,1196
4/21/20,1336,14,1202
4/22/20,1336,14,1243
4/23/20,1337,16,1251
4/24/20,1343,16,1254
4/25/20,1346,16,1262
4/26/20,1349,17,1265
4/27/20,1349,17,1280
4/28/20,1354,18,1287
4/29/20,1361,18,1291
4/30/20,1364,18,1293
5/1/20,1371,18,1300
5/2/20,1384,18,1300
5/3/20,1406,18,1300
5/4/20,1423,18,1311
5/5/20,1440,18,1321
5/6/20,1454,18,1322
5/7/20,1467,18,1327
5/8/20,1468,18,1327
5/9/20,1487,18,1336
5/10/20,1496,18,1346
5/11/20,1511,18,1360
5/12/20,1514,18,1385
5/13/20,1521,18,1385
5/14/20,1540,18,1407
5/15/20,1551,18,1417
5/16/20,1558,18,1417
5/17/20,1564,18,1439
5/18/20,1573,18,1454
5/19/20,1573,18,1454
5/20/20,1581,18,1473
5/21/20,1593,18,1479
5/22/20,1593,18,1479
5/23/20,1603,19,1498
5/24/20,1605,19,1520
5/25/20,1610,19,1533
5/26/20,1618,19,1533
5/27/20,1628,19,1544
5/28/20,1634,19,1544
5/29/20,1645,19,1553
5/30/20,1649,19,1557
5/31/20,1653,19,1560
6/1/20,1663,19,1563
6/2/20,1670,19,1569
6/3/20,1678,19,1569
6/4/20,1681,19,1586
6/5/20,1681,19,1586
6/6/20,1685,19,1593
6/7/20,1687,19,1595
6/8/20,1687,19,1602
6/9/20,1691,19,1616
6/10/20,1699,19,1621
6/11/20,1703,19,1632
6/12/20,1703,19,1632
6/13/20,1720,19,1657
6/14/20,1732,19,1661
6/15/20,1741,19,1664
6/16/20,1762,19,1664
6/17/20,1780,19,1678
